Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
12,The guy brings a fish from the ice which is attached to the string .,The guy reaches into the hole in the ice and pulls on a clear string .,NA,Yes,"The guy pulling on the string from the hole in the ice likely precedes bringing the fish out, indicating a sequential relationship between the two events."
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,The sequence of events suggests that the man first picks up the container of wax (Event 2) and then uses it to melt wax onto the purple material (Event 1).
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,No,"The two events describe different activities involving girls in costumes, but there is no clear temporal relationship between fixing tiles, playing hopscotch, and merely describing the costumes they are wearing."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,No,"The two events describe a man standing in a field, but there is no clear indication that one event must precede or follow the other. The context is similar, but it does not establish a temporal relationship."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The events likely occur in sequence during a performance. The mic is removed and the boy begins moving his head wildly, followed by the first boy coming back and continuing to play the drums, suggesting a continuation of the same performance."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,The man holding the frisbees and talking to the camera likely precedes the action of him throwing the frisbees for the dog to catch.
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,No,The events are from different contexts. Hitting a long shot down a slope and receiving a trophy from teammates are unrelated events and do not have a clear temporal relationship.
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,The events described are too vague and lack a clear context to establish a temporal relationship. They could be part of different activities or scenarios.
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,Yes,"The two events are related to a hurling game. The player scoring and the continuation of the game fit naturally within the context of the teams playing hurling, indicating a temporal relationship where scoring is part of the ongoing game."
21,A person is walking through a display of numerous sail boats .,The man sails through the hard waters very quickly .,NA,No,"The two events are unrelated as they occur in very different contexts. One involves walking through a display of sailboats, while the other involves sailing through hard waters."
22,A young woman cleans the engine area of a car .,A young man sprays down a white truck .,NA,No,"The events involve different individuals and different vehicles, making them unrelated and lacking a clear temporal relationship."
23,"Their father walks by , pushing the baby .","Two children , a boy and girl , are swinging gently on a swing set .",NA,No,The events describe different activities involving different family members and do not have a clear temporal relationship. They could occur independently of each other.
24,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .","The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",NA,Yes,"The outro screen with the safety message is likely shown after the series of clips, providing a conclusion and safety reminder following the skateboarding footage."
25,The end titles appear on a black screen .,The lady with the hose is seen again .,NA,No,"The events described are likely unrelated. The appearance of end titles typically signifies the conclusion of a video or film, whereas the lady with the hose could be part of an entirely different context."
26,man is standing in the sea surfing a wave .,a lot of people are on surfboards on the sea .,NA,No,The events describe different surfing activities and do not indicate a clear temporal sequence or dependency between them.
27,"The third time when he returns , he throws the ball and hits a strike one more time .","He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",NA,Yes,"The first event mentions the third time he returns and hits a strike, while the second event describes the first time he steps in and hits a strike. This indicates a sequence where the first event happens after the second event."
28,A slinky is thrown and a girl hops to where the slinky dropped .,Two young women are talking to each other .,NA,No,The events are unrelated as they describe different activities involving different people and contexts. There is no clear temporal relationship between the two events.
29,He touches his cheek again .,We then see an animation and the closing titles .,NA,No,The two events are unrelated as they describe different actions in different contexts without any clear connection or sequence between them.
30,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,No,The two events describe different actions and contexts without a clear temporal dependency. One event does not necessarily precede or follow the other.
31,Several rafts then appear and many people are white water rafting and flipping over .,A man then appears on the side with a paddle dancing on top of the rocks as he watches the others continue to kayak and fall into the water each change they hit a rock or encounter a wave .,NA,Yes,"The events described are part of the same white water rafting context. The appearance of several rafts and people white water rafting and flipping over is followed by a man appearing on the side with a paddle, watching others continue to kayak and fall into the water."
32,The   man fills he bucket and dumps it out .,The boy sits down and rocks back and forth .,NA,No,"The two events involve different actions performed by different individuals, and there is no clear context or connection that suggests a temporal relationship between them."
33,He drops the weight down onto a mat .,He bends down and lifts a large weight over his head .,NA,Yes,"In the context of weightlifting, the sequence of actions typically involves lifting a weight before dropping it. Thus, lifting the weight over his head would precede dropping it onto a mat."
34,"Once the first car is finished , the lady leaves and now the boy is left outside by himself getting the rest of the snow off of the vehicle .",The lady is dressed in a long beige jacket and ear muffs and she is scraping the snow off of the other end of the car .,NA,Yes,The lady scraping the snow off the car and then leaving suggests a sequence where she finishes her task before the boy is left to continue removing snow from the vehicle.
35,"The third time when he returns , he throws the ball and hits a strike one more time .","When he returns the fourth time , he hits another strike by knocking down all the pins .",NA,Yes,"The events are sequential, with the third return and strike occurring before the fourth return and strike."
36,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,The woman must touch the bottles and get the glasses before she can pour liquid into them.
37,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,No,"The events described are from different contexts. One event involves boys walking through an area with leaves and trees, while the other describes a black screen with names scrolling. There is no clear temporal relationship between these two events."
38,He talks and we see a split screen of the accordion .,We see his hand up close as he plays .,NA,Yes,The events are likely related as they both involve the same person and the accordion. The split screen showing the accordion and the close-up of his hand playing suggest a sequence where he talks about the accordion and then demonstrates playing it.
39,"The next black screen has a different set of white words that read "" Who will win ? ? ? "" .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,The event where the screen reads 'ARM WRESTLING MATCH' likely precedes the event where the screen reads 'Who will win???' as it sets the context for the upcoming match.
40,She wets the toothbrush in the sink and begins to brush her teeth .,She pushes the button and puts toothpaste on the toothbrush .,NA,Yes,Putting toothpaste on the toothbrush typically occurs before wetting the toothbrush and beginning to brush teeth.
41,The medal is cooled down and the finished weld can be seen .,A man welds a large steel construction drill .,NA,Yes,The welding process must occur before the medal can be cooled down and the finished weld can be seen.
42,A man kneels in the grass as two men flip and one jump over their back .,  A small boy enters the ring then two girls flip through .,NA,No,"The two events described occur in different contexts. One event happens in the grass with two men flipping and jumping over a man, while the other event involves a small boy entering a ring and two girls flipping through. There is no clear temporal relationship between these two distinct scenarios."
43,Two men are on a squash court playing a game   of squash with each other .,"During the game , they also pause several times to reset when they start a new game .",NA,Yes,"The pauses to reset and start a new game occur during the ongoing game of squash, indicating a temporal relationship where the game includes these pauses."
44,A girl in a red bathing suit stretches and walks to the edge of the dive platform and prepares to dive in a diving competition .,The diver jumps back off of the dive platform and spins forward for a head first entry .,NA,Yes,The girl preparing to dive must occur before she can actually jump off the dive platform and perform the dive.
45,He talks to the camera again .,He begins to play the guitar .,NA,Yes,"It is likely that he talks to the camera before beginning to play the guitar, suggesting a potential sequence of actions."
46,The people in the audience cheer and the shot is seen again in slow motion .,"A man is shown running that leads into an intro , followed by a photograph of him .",NA,No,"The events described are from different contexts. One involves an audience cheering and a shot being shown in slow motion, while the other involves a man running, an intro, and a photograph. There is no clear temporal relationship or dependency between these events."
47,A man tunes his guitar and then starts to strum it .,  The man plays a few chords and continues to fiddle with his guitar .,NA,Yes,"The man tuning his guitar and starting to strum it likely precedes him playing a few chords and continuing to fiddle with his guitar, indicating a temporal relationship between these events."
48,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,The events are related as they both involve the same man playing the accordion and interacting with the camera. The camera zooming out likely happens after or during the man talking to the camera while playing.
49,He keeps swinging the racket in the room .,A man in an orange shirt is playing wall ball .,NA,No,The two events describe different activities (swinging a racket in a room and playing wall ball) and do not have a clear temporal relationship. They are potentially unrelated.
50,The race start and they race along an uneven course with spectators watching .,A number of bikers line up at a race starting line .,NA,Yes,The bikers lining up at the starting line must occur before the race starts and they race along the course.
51,He aims and throws more darts and walks over one more time looking back at the camera .,He throws several more darts and then walks over the board and grabs the darts .,NA,Yes,"Both events describe a sequence of actions involving throwing darts and then walking over to the dartboard, implying a temporal relationship. Event 1 describes aiming, throwing, and walking back, while Event 2 describes throwing, walking over, and grabbing the darts. The actions are likely part of the same or similar sequences, suggesting a temporal relationship."
52,A man in a blue shirt stands behind a fence behind him .,A man swings a ball on a chain around his body and throws it behind him .,NA,No,The two events describe different actions involving different objects and do not provide any clear indication that one event must occur before the other.
53,They set the barbells down before showing another man doing the same .,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .",NA,No,The two events describe different activities (barbell exercises and mat exercises) without a clear indication that one must occur before the other. They are related to fitness but do not have a definitive temporal relationship.
54,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .",A black intro screen with a logo and words appear in red and white and black .,NA,Yes,"The black intro screen with a logo and words typically appears before the series of clips begin to play, indicating a temporal sequence where the introduction precedes the main content."
55,The big truck leaves the car wash .,A black sedan is parked by the detail shop area .,NA,No,"The events involve different vehicles and locations, and there is no clear indication that one event must precede or follow the other."
56,A red car is seen parked .,A young man cleans a Nissan and its license plate area .,NA,No,"The events describe different activities involving different cars. One is about a red car being parked, and the other is about a young man cleaning a Nissan. There is no clear temporal relationship between these two events."
57,He shows some of the front fork and how to apply the spring .,He then turns his attention back to the bike and its front end .,NA,Yes,"The use of 'then' in Event 2 indicates that it follows Event 1 in sequence. After showing the front fork and applying the spring, he turns his attention back to the bike and its front end."
58,First person of a man in a canoe in a body of water near waterfalls .,Video of two other canoes nearer to the falls .,NA,No,"The two events describe different canoes near waterfalls, but there is no clear temporal relationship between them. They could be happening simultaneously or at different times."
59,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,"The woman must first get the cocktail glass and shot glass before she can pour liquid into them. Therefore, Event 2 likely precedes Event 1."
60,She jumps one more time and is seen walking away .,An athletic woman is seen standing ready for a track .,NA,Yes,"The woman is seen standing ready for a track, suggesting she is preparing for an activity. After jumping one more time, she walks away, indicating the completion of her activity. Therefore, Event 2 likely precedes Event 1."
61,She mixes more ingredients in the bowl and strain the fruits into a bowl in the end .,A woman is seen sitting behind a desk taking her classes down and clip arts of her and objects .,NA,No,"The two events are from very different contexts: one involves preparing ingredients in a bowl, while the other involves a woman sitting behind a desk taking her classes down. There is no clear temporal relationship between these events."
62,She grabs his hand with both hands and stands back up while shaking hands .,The two then have an arm wrestling match with one another and the girl points off into the distance .,NA,Yes,"The handshake in Event 1 likely precedes the arm wrestling match in Event 2, suggesting a temporal relationship between the events."
63,A young Asian boy is sitting behind a trap - set smiling frantically in participation of his performance .,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",NA,Yes,The boy sitting behind the trap set and smiling in anticipation likely precedes the moment when the mic is removed and he begins performing energetically. The anticipation and preparation typically come before the actual performance.
64,The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,An adult man appeared and joined the girls and play hop scotch .,NA,Yes,The description of the girls in costumes likely sets the scene before the adult man joins them to play hopscotch. The events are related and have a temporal relationship where the first event sets up the context for the second event.
65,"The cookie is picked up and broken in half , the screen goes to an outro screen that has the words "" Home Cooking adventure "" , includes 3 small videos in the middle of the screen and a youtube icon that has a flashing word "" subscribe "" next to it .","The instructions on the screen now say "" Drop 1 - 1 1/2 tablespoon portions 2 - inches apart "" and the woman is shown spooning the cookie dough mixture onto a baking pan .",NA,No,"The events seem to be from different parts of a cooking video. Event 1 describes the end of the video, while Event 2 describes a step in the middle of the cooking process. There is no clear temporal relationship between these two specific events."
66,The guy smiles and places the fish on the the ice with both hands .,A guy squats on ice next to a plant .,NA,No,"The two events appear to be unrelated as they describe different actions and contexts. One involves placing a fish on ice, while the other involves squatting next to a plant on ice. There is no clear temporal relationship between the two events."
67,The two teens bow after their fight .,The credits of video are shown .,NA,Yes,"The credits of a video typically appear after the main content has concluded. Therefore, the teens bowing after their fight would logically occur before the credits are shown."
68,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,There 's a small boy snowboarding down the slope .,NA,Yes,"The instructors teaching the young students to begin snowboarding likely precedes the event where a small boy is snowboarding down the slope, as the instruction would typically come before the actual snowboarding."
69,"A black screen appears and green words scroll from the bottom to the top and stop when it fills the screen and say 's "" NDA&CS Food & Drug Protection Division "" and there 's a circular logo in the middle .","A man is washing his soapy hands in a sink while the water is running and as the timer is counting down on the right , he rinses his hands at the 20 second mark then dries them off with a brown paper towel .",NA,No,The two events described are from very different contexts and there is no clear indication that one event must precede or follow the other.
70,There are some adults helping small children get ready with their snowboarding equipment and gear .,An instructor from the snowboarding school is helping some young children get up after falling down .,NA,Yes,"The children getting ready with their snowboarding equipment and gear likely precedes them participating in the snowboarding activity, where an instructor helps them after they fall down."
71,  The man dismounts and lands on the mat .,  The man does a routine on the horse .,NA,Yes,The man must complete his routine on the horse before dismounting and landing on the mat.
72,A group wearing helmets and safety vests pull a raft into a rapid river .,"They run through the water toward a water fall , celebrating .",NA,Yes,"The group pulling a raft into a rapid river likely precedes them running through the water toward a waterfall, as these activities are sequential in the context of a rafting trip."
73,The guy pours the shaken liquid into the glass .,The guy raises an empty glass .,NA,Yes,The glass must be empty before the guy can pour the shaken liquid into it.
74,A baby boy 's head floats up from water .,"He goes back under , looking around in amazement .",NA,Yes,"The baby boy's head floating up from the water would logically precede him going back under, indicating a clear temporal sequence."
75,We see the blue opening screen .,The man then puts on his gloves and dances a bit in the yard .,NA,No,"The two events are unrelated and occur in very different contexts. One is about seeing a blue opening screen, likely related to some digital or visual media, while the other is about a man putting on gloves and dancing in a yard."
76,The woman continues kicking up her legs and ends by jumping down .,An athletic woman is seen balancing herself on two beams .,NA,No,The two events describe different activities that do not have a clear temporal relationship or dependency on each other.
77,"The man then picks up an iron and begins to melt some of the wax onto it by rubbing it on the hot iron , then onto the material on the ski and then back and forth to melting the wax and rubbing it onto the long piece of fabric on the ski .","The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The events are related as they both involve the process of waxing skis, and the man picking up the small container of wax likely precedes the action of melting and applying the wax onto the ski."
78,"Two men are in a weight room , one is sitting in a chair , and the other is standing on a mat about to jerk the bar .",The same male then lifts the bar four times and is successful at each attempt .,NA,Yes,"The second event describes the man lifting the bar, which logically follows the first event where he is about to jerk the bar."
79,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,The two events are related and likely follow each other. The camera zooming out on the man playing the accordion likely occurs after we see him play and talk to the camera.
80,We see him playing the accordion again .,We fade in from black as the man talks .,NA,No,The two events described do not have a clear temporal relationship. Playing the accordion and talking could happen in any order or even independently of each other.
81,The trainer walks the camel in a circle in a wide circle in the parking lot area with the children riding .,The trainer guides the children on a camel in front of the stage holding presenters and a large crowd .,NA,Yes,"The trainer likely walks the camel in the parking lot area before guiding the children on the camel in front of the stage, suggesting a sequence of events."
82,The view then returns to the boys skateboarding together again as they pass homes on each sides of the road and they continue to pass the stick to one another to take turns taking the video .,A 5th boy suddenly appears and takes the stick to take his turn in filming .,NA,Yes,"The boys are already passing the stick to take turns filming, and then a 5th boy appears to take his turn, indicating a sequence of events."
83,The girl uses a comb with a pick to part her hair .,The girl adds hair product to her hair and combs it through with her hands .,NA,Yes,"The girl likely parts her hair with a comb before adding hair product and combing it through with her hands, indicating a sequential process in hair styling."
84,We see a bathroom sink and counter .,The man then washes the container .,NA,Yes,"The presence of a bathroom sink and counter suggests a location where washing can occur, and the man's action of washing the container likely follows the observation of the sink and counter."
85,A camera pans around a large group of people are seen kite surfing along the water while some sit on the sides to watch .,More clips are shown of people riding around along the water with some falling in and others standing back up .,NA,Yes,"Both events describe activities related to kite surfing on the water. The second event likely follows or overlaps with the first event, showing more clips of similar activities."
86,The two children move backwards as the teens leave .,The credits of video are shown .,NA,No,"The two events are unrelated and come from different contexts. One involves children and teens moving, while the other involves the credits of a video being shown."
87,The young girl stops and begins to try and takes the food off the fork and they both begin laughing .,The little girl then sits down and they both begin to look on the floor for a piece of food that fell off of the fork .,NA,Yes,"Event 1 describes the girl trying to take food off the fork and both laughing, which likely leads to the food falling off the fork. Event 2 follows logically as they look for the fallen piece of food."
88,The men begin to play the guitars .,Two men are sitting on stools with guitars in their laps with captions .,NA,Yes,"The men sitting on stools with guitars in their laps likely precedes the moment they begin to play the guitars, suggesting a temporal relationship between the two events."
89,"  The canoe and the hand travel down a rocky water way and pass other people , trees and rocks .","A hand is seen paddling in the water along with the front of the canoe the person paddling is in , the body and face are not visible , however .",NA,Yes,"Both events describe actions involving a canoe and a hand paddling in the water. Event 2, which focuses on the hand paddling, likely occurs during the broader journey described in Event 1."
90,The camera man adjusts the camera and covers it with his hand .,We see two men playing squash in an indoor court .,NA,No,The events are unrelated as one describes the actions of a cameraman and the other describes a squash game. There is no clear temporal relationship between adjusting a camera and two men playing squash.
91,"A black screen appears and a blue area with black text reads "" 20 Seconds "" and it flashes multiple times .","Various items are shown that include a toilet paper roll , a bottle of handwash and running water from a faucet .",NA,No,"The two events described do not have a clear temporal relationship. The first event involves a screen display with text and flashing, while the second event involves showing various items like a toilet paper roll, a bottle of handwash, and running water. These events are from different contexts and do not imply a sequence."
92,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .","They raise them to their chests , then over their heads very quickly , doing several sets .",NA,Yes,"Both events describe a sequence of exercises that could be part of a workout routine. The sit-ups and arm lifts on mats could precede the chest and overhead lifts, indicating a potential temporal relationship."
93,The man is again being interviewed with several shots of balls being thrown and more people being interviewed .,Various shots of people are shown as well a bowling balls being thrown down a lane .,NA,No,"The two events are described in different contexts. One event involves an interview with shots of balls being thrown, while the other involves people and bowling balls being thrown down a lane. There is no clear temporal relationship between the two events."
94,  The man does a routine on the horse .,  People in the arena applaud the man .,NA,Yes,The applause from the people in the arena likely follows the man's routine on the horse.
95,Two people are seen kicking around a skateboard and lead into clips of them riding down a road .,The men continue moving around the city through obstacles and moving along the road .,NA,Yes,"The first event describes the initial activity of kicking around the skateboard and then riding down a road. The second event continues the narrative by describing the men moving around the city and along the road, implying a progression of their journey."
96,We see the title screen on black .,The lady with the hose is seen again .,NA,Yes,"The appearance of the title screen on black likely indicates the beginning of a scene or segment, which would be followed by subsequent events, such as seeing the lady with the hose again."
97,"When he returns the fourth time , he hits another strike by knocking down all the pins .",There 's a person in a red shirt and black shoes bowling in a bowling alley .,NA,No,"The events are related to bowling but there is no clear temporal relationship between them. The first event describes someone hitting a strike on their fourth turn, while the second event describes a person bowling, without specifying any sequence or connection to the first event."
98,The medal is cooled down and the finished weld can be seen .,A portable power sources has electric tools plugged into it .,NA,No,"The two events are from different contexts. One describes a welding process, and the other describes the use of electric tools with a portable power source. There is no clear temporal relationship between these events."
99,They stack the mango slices on a plate .,They put the fruit into a juicer and pour the juice into a large jug .,NA,No,The two events describe different actions involving fruit preparation that do not necessarily follow a specific order or context. Stacking mango slices on a plate and juicing fruit are separate activities.
100,He grabs a mop and dips it into the bucket and rings out excess water .,A man grabs a swiffer and cleans a small area of the floor in his living room .,NA,No,The two events involve different cleaning tools (a mop and a swiffer) and occur in different contexts (potentially different locations). There is no clear temporal relationship between them.
101,"After , the woman takes off her clothes and makes sexy movements .",The woman walks in the yard and pretend to shoot .,NA,No,"The events described are from different contexts and activities, with no indication that one must precede the other."
102,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,NA,No,"The events are unrelated in context. The first event describes a black screen with scrolling names, while the second event describes boys riding skateboards. There is no clear temporal relationship between these two events."
103,A man is seen speaking to the camera using his hands in the end .,The people push themselves along in the canoe and show more people riding along .,NA,No,"The two events are unrelated as they describe different activities in different contexts. One involves a man speaking to a camera, while the other involves people riding in a canoe."
104,The man continues to play the instrument up and down moving his hands all around .,A person is seen close up holding a guitar and begins playing the instrument while moving his arms around .,NA,Yes,"The second event describes the beginning of playing the instrument, while the first event describes the continuation of playing. Therefore, the second event likely precedes the first."
105,"When he returns the fourth time , he hits another strike by knocking down all the pins .",There 's a person in a red shirt and black shoes bowling in a bowling alley .,NA,Yes,"The context suggests that the person in the red shirt and black shoes is bowling, and the event of hitting a strike on the fourth return happens during the bowling session. Therefore, the events are related and have a temporal relationship."
106,"For the first one , he has the ball on the end of the tennis racket that is upside down , he jilts the tennis racket up and hits the ball while it is up in the air .",He is alone and starts to illustrate different tricks that you could do when servicing the ball .,NA,Yes,"The events are related to a tennis player demonstrating different tricks. The first event describes a specific trick, while the second event indicates that the player continues to illustrate various tricks. The first event can be seen as part of the sequence of the second event."
107,A young woman cleans the engine area of a car .,  A woman cleans the window of a big truck .,NA,No,"The two events involve different vehicles and different cleaning tasks, and there is no clear indication that one event must precede the other. They are unrelated in context and do not have a temporal relationship."
108,The gate opens and he ropes a small animal and throws it on the ground and ties its back lets .,He stands up and runs to get back on the horse .,NA,Yes,The sequence of actions suggests a temporal relationship where the man completes the task of roping and tying the animal before standing up and running to get back on the horse.
109,The camera zooms out and a yellow frame appears .,"  Justin is playing the drums with a caption "" Justin Beiber Drum Solo "" .",NA,No,"The two events are unrelated as they describe different contexts. One involves a camera action and a yellow frame, while the other involves Justin Bieber playing the drums."
110,The men start after the card and ride their dirt bikes .,The end titles appear on a black screen .,NA,No,The events are unrelated as one describes men riding dirt bikes and the other describes end titles appearing on a black screen. There is no clear temporal or contextual connection between them.
111,The men continue to huddle and play a game of rock paper scissors while cheering afterwards .,A large group of people are seen standing on a field with players carrying others on their backs .,NA,No,The two events described do not have a clear temporal relationship. They describe different activities (playing rock paper scissors and carrying others on their backs) and there is no indication that one event must occur before the other.
112,"Mothers grab their babies to come up for air , and a baby breathes as he looks at the camera .",A baby boy 's head floats up from water .,NA,Yes,"The events are related as they both describe a situation where babies are brought up from the water to breathe. The first event, where mothers grab their babies to come up for air, likely precedes the second event, where a baby boy's head floats up from the water."
113,A large beer pong table is shown with cups laid out and people playing .,Many clips are shown of people playing beer pong as well as speaking to the camera .,NA,No,"The two events describe different activities related to beer pong, but there is no clear indication that one event must precede the other. They could occur independently and do not necessarily have a temporal relationship."
114,The   man fills he bucket and dumps it out .,We see a man and a boy playing in the sand .,NA,No,The events are described in different contexts and there is no clear indication that one event must precede the other.
115,Text speaks of an event that is coming up .,They are shown jumping   off cliffs into the water before rafting again .,NA,No,"The events are unrelated. The first event is about an upcoming event, while the second event describes an activity involving jumping off cliffs and rafting. They do not share a common context or temporal sequence."
116,  Man sleeps in a bed .,Man talks to someone on the camera .,NA,No,The events describe two different activities that are unrelated and do not have a clear temporal relationship.
117,One of the students does impressive stunts and moves while snowboarding .,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,NA,Yes,The instructors teaching the students to begin snowboarding and various steps likely precedes the event where one of the students performs impressive stunts and moves while snowboarding. This learning process would logically come before the execution of advanced stunts.
118,One of the students does impressive stunts and moves while snowboarding .,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,NA,Yes,The instructors teaching the young students to begin snowboarding likely precedes a student performing impressive stunts and moves while snowboarding. The learning process comes before the execution of advanced skills.
119,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,No,The two events describe different activities (riding skateboards and walking with skateboards) in different settings (a road and a leafy area). There is no clear indication that one event must occur before or after the other.
120,There 's a young man wearing a blue shirt and black hat demonstrating on a bed and talking about fitness .,He is talking about fitness as he lays on his back to demonstrate crunches by doing actions with his arms .,NA,Yes,The young man first talks about fitness on the bed and then demonstrates crunches while continuing to talk about fitness.
121,The individual squeezes the lemons ' juice into a mug using a tool .,The individual mixes some water into the mug .,NA,Yes,The lemon juice must be squeezed into the mug before water can be mixed into it.
122,A woman sits on front a red shoe .,"Next , the woman puts the shoe on the table and continues talking .",NA,Yes,"The second event explicitly states 'Next,' indicating a sequence where the woman first sits on the shoe and then puts it on the table."
123,"There are two men connected to the large rock wall , one is higher up on the rock and the other one is on the ground and when the man that is higher repels very quickly , the man on the ground quickly gets lifted from the ground but not all the way up the rock wall .","A man is tied to the top of a rock wall and he quickly repels and the words "" clean big falls ! "" appear on the screen .",NA,Yes,"Both events describe a situation involving a man repelling from a rock wall. The first event describes the setup and the initial action, while the second event describes the repelling action and its aftermath, suggesting a sequence of actions."
