Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
13,The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it .,"The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The event of putting down the iron and applying wax to the purple material in Event 1 is likely to be followed by the event of the man picking up the container and removing the purple bar of wax in Event 2, as the application of wax is a necessary step before the wax can be removed and identified."
14,"The girl in pink dress and the girl in wonder woman costume is fixing the tiles , the girl in dress continue to play , then the girl in wonder woman costume play the hop scotch .",The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,NA,Yes,"The first event describes a sequence of actions, implying that the girl in pink dress fixes the tiles, then continues to play, and then the girl in Wonder Woman costume plays hop scotch. This suggests that the events in the first event occur in a specific order, which is consistent with the description in the second event, which only describes the costumes worn by the girls."
15,man wearing a red outfit is standing in a green large field doing a shot put .,man is standing in a large green grassy field .,NA,Yes,"The second event is likely a continuation of the first event, as the man is already standing in the green field, which is the same location as the first event."
16,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",The first boy then comes back and continues playing the drums and the video continues to toggle back in forth between the two .,NA,Yes,"The mic being removed and the boy starting to move his head wildly suggests that the music has started, and the second event continues the performance."
17,  A man talks to a camera inside of a room while holding many white frisbees in his hand .,  The man proceeds to throw frisbees at which point the dog catches the frisbee .,NA,Yes,"The man's action of throwing frisbees is likely to happen after he talks to the camera and holds the frisbees, as it is a natural progression of the activity."
18,A man hits a long shot down a slope .,A man receives a trophy from teammates .,NA,Yes,"The man receiving a trophy is likely a reward for the achievement of hitting a long shot, so the events are likely to be related in time, with the trophy being given after the shot is hit."
19,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,Yes,"The man standing up implies that the activity of playing has stopped, which is consistent with the event of stopping playing described in Event 1."
20,"A player with green t - shirt scores , then the players continue the game .",Two teams play hurling running and throwing a small ball with a stick .,NA,No,"The two events are unrelated and do not appear to be connected in any way, including time."
21,A person is walking through a display of numerous sail boats .,The man sails through the hard waters very quickly .,NA,Yes,"The first event implies that the person is viewing the sailboats before they actually go sailing, which would be the second event."
22,A young woman cleans the engine area of a car .,A young man sprays down a white truck .,NA,No,"There is no logical reason why the young woman cleaning the engine area of a car must precede or follow the young man spraying down a white truck, as these are two unrelated actions."
23,"Their father walks by , pushing the baby .","Two children , a boy and girl , are swinging gently on a swing set .",NA,No,"There is no obvious causal or chronological link between the two events, as they appear to be unrelated activities happening at different times and locations."
24,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .","The black outro screen has a logo and blue and red words that read "" Wear your helmet , and skate safe !",NA,Yes,"The outro screen with the safety message is likely to appear after the series of clips showing people skateboarding, as it is a common practice to include a safety message at the end of a video or public service announcement."
25,The end titles appear on a black screen .,The lady with the hose is seen again .,NA,Yes,"The end titles typically appear after the main content of a movie or show has finished, and the lady with the hose is seen again implies that the main content has ended, so it is likely that the end titles appear after she is seen again."
26,man is standing in the sea surfing a wave .,a lot of people are on surfboards on the sea .,NA,Yes,"The first event implies that the man is currently surfing a wave, which means that the second event is likely to occur after the first event, as the people on surfboards are likely to be in the same location and situation as the man in the first event."
27,"The third time when he returns , he throws the ball and hits a strike one more time .","He steps in the first time , holding the bowling ball in his right hand and aims for the pins and hits a strike .",NA,Yes,"The first event implies that the person has already stepped in and aimed for the pins at least once before, so the second event must come before the third event."
28,A slinky is thrown and a girl hops to where the slinky dropped .,Two young women are talking to each other .,NA,Yes,"The girl's action of hopping to where the slinky dropped implies that the slinky was thrown before she moved, so Event 1 likely precedes Event 2."
29,He touches his cheek again .,We then see an animation and the closing titles .,NA,Yes,"The phrase 'We then see' implies that the animation and closing titles occur after the action of touching his cheek, suggesting a temporal relationship between the two events."
30,They stop playing and the man stands up .,A man in a white hat is leading them .,NA,Yes,"The event 'They stop playing' implies that there was some activity happening before, and the event 'A man in a white hat is leading them' is likely to occur after the activity has stopped, as the man in the white hat is likely to be leading them in the activity that was stopped."
31,Several rafts then appear and many people are white water rafting and flipping over .,A man then appears on the side with a paddle dancing on top of the rocks as he watches the others continue to kayak and fall into the water each change they hit a rock or encounter a wave .,NA,Yes,"The appearance of the rafts and people white water rafting implies that the man with the paddle has already arrived and is watching the others, suggesting that Event 1 occurs before Event 2."
32,The   man fills he bucket and dumps it out .,The boy sits down and rocks back and forth .,NA,Yes,"The man filling and dumping the bucket likely precedes the boy sitting down and rocking back and forth, as it seems unlikely that the boy would start rocking without the bucket being emptied first."
33,He drops the weight down onto a mat .,He bends down and lifts a large weight over his head .,NA,Yes,"The order of the events suggests that he first drops the weight and then lifts it, as you cannot lift a weight over your head if it is still on the mat."
34,"Once the first car is finished , the lady leaves and now the boy is left outside by himself getting the rest of the snow off of the vehicle .",The lady is dressed in a long beige jacket and ear muffs and she is scraping the snow off of the other end of the car .,NA,Yes,"The lady is still present in the first event, and then leaves in the second event, so the first event must occur before the second."
35,"The third time when he returns , he throws the ball and hits a strike one more time .","When he returns the fourth time , he hits another strike by knocking down all the pins .",NA,Yes,"The events are likely describing a bowling game, where the 'return' refers to the player's turn. The second event ('When he returns the fourth time') implies that the first event ('The third time when he returns') has already occurred, making them temporally related."
36,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,"The woman's actions in Event 1 (pouring liquid into the shot glass and cocktail glass, then adding more liquid) are likely to occur after the actions in Event 2 (touched the bottles, got a cocktail glass and shot glass), as she needs to obtain the necessary glasses and bottles before she can prepare the cocktail."
37,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,Yes,"The scrolling list of names likely appears at the beginning of the video, and the scene of the boys walking through the forest is likely a scene within the video, making it likely that the first event precedes the second."
38,He talks and we see a split screen of the accordion .,We see his hand up close as he plays .,NA,Yes,"It is likely that the hand up close is playing the accordion, and the split screen of the accordion is shown while he is playing it, so the events are likely to occur simultaneously or in close proximity."
39,"The next black screen has a different set of white words that read "" Who will win ? ? ? "" .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,"The second event (the black screen with the words 'ARM WRESTLING MATCH') likely precedes the first event (the black screen with the words 'Who will win ? ? ?') as it appears to be introducing the arm wrestling match, and the second screen is likely asking the question about who will win the match."
40,She wets the toothbrush in the sink and begins to brush her teeth .,She pushes the button and puts toothpaste on the toothbrush .,NA,Yes,"The event of wetting the toothbrush in the sink is likely to occur before putting toothpaste on the toothbrush, as one must wet the toothbrush before applying toothpaste."
41,The medal is cooled down and the finished weld can be seen .,A man welds a large steel construction drill .,NA,Yes,"The weld must be done before it can be cooled down and the finished weld can be seen, so the order of the events is likely that the man welds the drill first and then cools it down."
42,A man kneels in the grass as two men flip and one jump over their back .,  A small boy enters the ring then two girls flip through .,NA,Yes,"The event in Event 1 is likely a demonstration or performance, and the event in Event 2 is likely a continuation of that performance, with the small boy entering the ring to watch or participate."
43,Two men are on a squash court playing a game   of squash with each other .,"During the game , they also pause several times to reset when they start a new game .",NA,Yes,"Event 2 is a part of Event 1, as the pause to reset is a part of the game they are playing."
44,A girl in a red bathing suit stretches and walks to the edge of the dive platform and prepares to dive in a diving competition .,The diver jumps back off of the dive platform and spins forward for a head first entry .,NA,Yes,The girl in the red bathing suit must prepare to dive before she jumps off the platform and performs the dive.
45,He talks to the camera again .,He begins to play the guitar .,NA,Yes,"The assumption is that the person is continuing a previous activity, implying that the camera conversation happened before the guitar playing."
46,The people in the audience cheer and the shot is seen again in slow motion .,"A man is shown running that leads into an intro , followed by a photograph of him .",NA,Yes,"The shot is seen again in slow motion likely refers to the man running, so Event 1 is likely a continuation of Event 2."
47,A man tunes his guitar and then starts to strum it .,  The man plays a few chords and continues to fiddle with his guitar .,NA,Yes,"The man tunes his guitar before he starts to play it, and the second event likely occurs after the first event."
48,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,"The camera zooming out on the man playing the accordion likely happens after the camera focuses on him and he talks to the camera, as the zooming out action is a subsequent action."
49,He keeps swinging the racket in the room .,A man in an orange shirt is playing wall ball .,NA,Yes,"The man in the orange shirt is likely playing wall ball, which requires swinging a racket, so event 1 (swinging the racket) likely precedes event 2 (playing wall ball)."
50,The race start and they race along an uneven course with spectators watching .,A number of bikers line up at a race starting line .,NA,Yes,"The event 'The race start' implies that the bikers lining up at the starting line must precede the actual racing, which is described in the first event."
51,He aims and throws more darts and walks over one more time looking back at the camera .,He throws several more darts and then walks over the board and grabs the darts .,NA,Yes,"The second event, 'He throws several more darts', must occur before the action of 'walks over the board and grabs the darts' in the second event, which is also described as 'one more time' in the first event, implying a sequence of actions."
52,A man in a blue shirt stands behind a fence behind him .,A man swings a ball on a chain around his body and throws it behind him .,NA,Yes,The man in the blue shirt is likely standing behind the fence to avoid being hit by the ball as it swings around his body and is thrown behind him.
53,They set the barbells down before showing another man doing the same .,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .",NA,Yes,"The fact that they set the barbells down suggests that they were using them for a weightlifting exercise, and the second event describes a different exercise, so it is likely that the first event occurred before the second."
54,"A series of clips begin to play and they include a lot of people riding skateboards and wearing safety gear as they fall many times in many different areas that include residential roads , parking lots , skate parks , dirt paths , empty roads and etcetera .",A black intro screen with a logo and words appear in red and white and black .,NA,Yes,"The intro screen with a logo and words is likely to appear before the series of clips play, as it is a common format for a video to start with an intro before showing the main content."
55,The big truck leaves the car wash .,A black sedan is parked by the detail shop area .,NA,Yes,"The truck leaving the car wash implies that it was previously at the car wash, and the black sedan being parked by the detail shop area does not necessarily imply any interaction with the truck, so it is likely that the truck leaves the car wash before the sedan is parked."
56,A red car is seen parked .,A young man cleans a Nissan and its license plate area .,NA,Yes,"The event of the car being parked likely precedes the event of the young man cleaning the car, as cleaning a car is typically done after it has been parked."
57,He shows some of the front fork and how to apply the spring .,He then turns his attention back to the bike and its front end .,NA,Yes,"The word 'then' in Event 2 implies that Event 1 occurs before Event 2, suggesting a temporal relationship between the two events."
58,First person of a man in a canoe in a body of water near waterfalls .,Video of two other canoes nearer to the falls .,NA,Yes,"The first person in the canoe in Event 1 is likely paddling towards the waterfalls, and the video in Event 2 shows the canoes closer to the falls, suggesting that Event 1 precedes Event 2."
59,"The woman pour liquid in the shot glass then pour in the cocktail glass , then she added more liquid , the liquid turned into green .","The woman touched the bottles , then she get a cocktail glass and shot glass .",NA,Yes,"The events suggest a sequence of actions: first, the woman prepares the drinks (pours liquid in the shot glass and cocktail glass, adds more liquid), and then she gets the glasses (shot glass and cocktail glass) before handling the bottles. The events are likely to occur in this order."
60,She jumps one more time and is seen walking away .,An athletic woman is seen standing ready for a track .,NA,Yes,"The woman jumps and then walks away, suggesting that the jumping occurs before the walking away, so there is a temporal relationship between the two events."
61,She mixes more ingredients in the bowl and strain the fruits into a bowl in the end .,A woman is seen sitting behind a desk taking her classes down and clip arts of her and objects .,NA,No,"The events seem to be unrelated, as mixing and straining fruits is likely a cooking or food preparation activity, while taking classes and creating clip arts is a creative or educational activity, and there is no apparent connection between the two."
62,She grabs his hand with both hands and stands back up while shaking hands .,The two then have an arm wrestling match with one another and the girl points off into the distance .,NA,Yes,"The arm wrestling match likely occurs after they have shaken hands, as it is a separate activity that happens after the initial greeting."
63,A young Asian boy is sitting behind a trap - set smiling frantically in participation of his performance .,"Finally , the mic is removed and the boy begins moving his head wildly as if he is a rock star and they both continue performing .",NA,Yes,"The boy's frantic smiling in Event 1 suggests that he is preparing for a performance, and the mic being removed and him moving his head wildly in Event 2 implies that the performance has begun, so it is likely that Event 1 precedes Event 2."
64,The little girl is wearing pink princess costume while the other girl is wearing wonder woman costume .,An adult man appeared and joined the girls and play hop scotch .,NA,Yes,"It is likely that the girls were playing together before the adult man joined them, so the first event (the girls dressing up) must have occurred before the second event (the man joining them to play hop scotch)."
65,"The cookie is picked up and broken in half , the screen goes to an outro screen that has the words "" Home Cooking adventure "" , includes 3 small videos in the middle of the screen and a youtube icon that has a flashing word "" subscribe "" next to it .","The instructions on the screen now say "" Drop 1 - 1 1/2 tablespoon portions 2 - inches apart "" and the woman is shown spooning the cookie dough mixture onto a baking pan .",NA,Yes,"The first event appears to be the conclusion of a video or cooking tutorial, and the second event seems to be the next step in the cooking process, suggesting a temporal relationship where the second event occurs after the first event."
66,The guy smiles and places the fish on the the ice with both hands .,A guy squats on ice next to a plant .,NA,Yes,"The guy is likely catching a fish and then placing it on the ice, so event 1 likely precedes event 2."
67,The two teens bow after their fight .,The credits of video are shown .,NA,No,"The two events seem to be from different contexts, with one being a conclusion to a fight and the other being the end of a video. There is no apparent causal or temporal relationship between the two."
68,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,There 's a small boy snowboarding down the slope .,NA,Yes,"The instructors teaching the young students to begin snowboarding must occur before the students can actually snowboard down the slope, so there is a temporal relationship between the two events."
69,"A black screen appears and green words scroll from the bottom to the top and stop when it fills the screen and say 's "" NDA&CS Food & Drug Protection Division "" and there 's a circular logo in the middle .","A man is washing his soapy hands in a sink while the water is running and as the timer is counting down on the right , he rinses his hands at the 20 second mark then dries them off with a brown paper towel .",NA,No,"The events seem to be unrelated and do not appear to be connected in any way, making it unlikely that one event precedes the other."
70,There are some adults helping small children get ready with their snowboarding equipment and gear .,An instructor from the snowboarding school is helping some young children get up after falling down .,NA,Yes,"It is likely that the children got ready with their snowboarding equipment and gear before they started snowboarding, and the instructor helped them get up after falling down, indicating a temporal sequence."
71,  The man dismounts and lands on the mat .,  The man does a routine on the horse .,NA,Yes,The man must perform the routine on the horse before he can dismount and land on the mat.
72,A group wearing helmets and safety vests pull a raft into a rapid river .,"They run through the water toward a water fall , celebrating .",NA,Yes,"It is likely that the group pulls the raft into the rapid river and then runs through the water, celebrating after going over the waterfall."
73,The guy pours the shaken liquid into the glass .,The guy raises an empty glass .,NA,Yes,The guy pours the shaken liquid into the glass after raising the empty glass.
74,A baby boy 's head floats up from water .,"He goes back under , looking around in amazement .",NA,Yes,"The second event 'He goes back under' implies that the baby boy has previously surfaced from the water, which is described in the first event 'A baby boy's head floats up from water'."
75,We see the blue opening screen .,The man then puts on his gloves and dances a bit in the yard .,NA,No,"There is no obvious connection between the blue opening screen and the man putting on gloves and dancing, suggesting they are unrelated events."
76,The woman continues kicking up her legs and ends by jumping down .,An athletic woman is seen balancing herself on two beams .,NA,Yes,"The woman's actions in Event 1 (kicking up her legs and jumping down) suggest that she is preparing for or participating in a gymnastics or acrobatic activity, which could lead to her balancing herself on two beams in Event 2, indicating a temporal relationship between the two events."
77,"The man then picks up an iron and begins to melt some of the wax onto it by rubbing it on the hot iron , then onto the material on the ski and then back and forth to melting the wax and rubbing it onto the long piece of fabric on the ski .","The man then picks up a small container and words on the screen appear saying that it 's "" vauhti violet glider "" and when he removes the content it looks like a purple bar of wax .",NA,Yes,"The man picks up an iron and begins to melt wax in Event 1, which suggests that he has obtained the wax before doing so, which is described in Event 2."
78,"Two men are in a weight room , one is sitting in a chair , and the other is standing on a mat about to jerk the bar .",The same male then lifts the bar four times and is successful at each attempt .,NA,Yes,"The second event describes the outcome of the action described in the first event, implying that the lifting of the bar occurs after the initial attempt to jerk the bar."
79,We shift to see him play and he talks to the camera .,The camera zooms out on the man playing the accordion .,NA,Yes,The camera zooming out on the man playing the accordion likely happens after the camera zooms in on him to show him playing and talking to the camera.
80,We see him playing the accordion again .,We fade in from black as the man talks .,NA,Yes,"The second event implies the start of a scene or sequence, and the first event likely occurs within that scene or sequence, suggesting a temporal relationship."
81,The trainer walks the camel in a circle in a wide circle in the parking lot area with the children riding .,The trainer guides the children on a camel in front of the stage holding presenters and a large crowd .,NA,Yes,"It is likely that the children ride the camel in the parking lot (Event 1) before they are guided on the camel in front of the stage (Event 2), possibly as part of a show or performance."
82,The view then returns to the boys skateboarding together again as they pass homes on each sides of the road and they continue to pass the stick to one another to take turns taking the video .,A 5th boy suddenly appears and takes the stick to take his turn in filming .,NA,Yes,"The second event describes a new boy taking the stick to take his turn, implying that the first event (the boys skateboarding and passing the stick) has already occurred and is still ongoing, making the second event a continuation of the first."
83,The girl uses a comb with a pick to part her hair .,The girl adds hair product to her hair and combs it through with her hands .,NA,Yes,The girl uses the comb with a pick to part her hair after adding hair product to her hair and combing it through with her hands.
84,We see a bathroom sink and counter .,The man then washes the container .,NA,Yes,The man must first see the bathroom sink and counter before washing the container in it.
85,A camera pans around a large group of people are seen kite surfing along the water while some sit on the sides to watch .,More clips are shown of people riding around along the water with some falling in and others standing back up .,NA,Yes,"The second event likely occurs after the first event, as the people shown in the second event are already kite surfing and some are falling in, suggesting that the activity has already started and is ongoing."
86,The two children move backwards as the teens leave .,The credits of video are shown .,NA,Yes,"The credits of a video are typically shown after the video has finished playing, which would be after the teens leave and the children move backwards, suggesting a temporal relationship where Event 1 precedes Event 2."
87,The young girl stops and begins to try and takes the food off the fork and they both begin laughing .,The little girl then sits down and they both begin to look on the floor for a piece of food that fell off of the fork .,NA,Yes,"Event 1 describes the initial action of trying to take the food off the fork, and Event 2 describes the consequence of that action, which is looking for the food that fell off the fork."
88,The men begin to play the guitars .,Two men are sitting on stools with guitars in their laps with captions .,NA,Yes,"It is likely that the men began to play the guitars after they had already sat down with the guitars in their laps, as playing the guitar typically requires some initial setup and positioning."
89,"  The canoe and the hand travel down a rocky water way and pass other people , trees and rocks .","A hand is seen paddling in the water along with the front of the canoe the person paddling is in , the body and face are not visible , however .",NA,Yes,"The second event is a more detailed description of the first event, specifically showing the action of paddling that was mentioned in the first event."
90,The camera man adjusts the camera and covers it with his hand .,We see two men playing squash in an indoor court .,NA,Yes,"The camera man adjusting the camera and covering it with his hand is likely an action that occurs before the camera captures the footage of the two men playing squash, suggesting a temporal relationship."
91,"A black screen appears and a blue area with black text reads "" 20 Seconds "" and it flashes multiple times .","Various items are shown that include a toilet paper roll , a bottle of handwash and running water from a faucet .",NA,Yes,"The flashing '20 Seconds' on the screen suggests that it is a countdown timer, implying that the events in Event 2 are happening after the timer has finished counting down, likely during a commercial break or an advertisement."
92,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .","They raise them to their chests , then over their heads very quickly , doing several sets .",NA,Yes,"The events seem to describe different parts of the same exercise routine, with the first event describing the preparation (laying down and doing sit-ups and arm lifts) and the second event describing the actual exercise (raising the exercise balls to the chest and over the head)."
93,The man is again being interviewed with several shots of balls being thrown and more people being interviewed .,Various shots of people are shown as well a bowling balls being thrown down a lane .,NA,Yes,"The shots of bowling balls being thrown down a lane suggest that the event is a bowling interview, which is likely to be the same event as the man being interviewed with shots of balls being thrown and more people being interviewed."
94,  The man does a routine on the horse .,  People in the arena applaud the man .,NA,Yes,"It is likely that the man's routine on the horse is performed before the people in the arena applaud him, as the applause is a response to the routine."
95,Two people are seen kicking around a skateboard and lead into clips of them riding down a road .,The men continue moving around the city through obstacles and moving along the road .,NA,Yes,"The first event (kicking around a skateboard) is likely the warm-up or preparation for the second event (riding down the road and moving around the city), suggesting a temporal sequence where the first event precedes the second."
96,We see the title screen on black .,The lady with the hose is seen again .,NA,Yes,"The title screen is typically displayed before the main content of a video or game, so it is likely that the lady with the hose is seen after the title screen."
97,"When he returns the fourth time , he hits another strike by knocking down all the pins .",There 's a person in a red shirt and black shoes bowling in a bowling alley .,NA,Yes,"The event 'he returns the fourth time' implies that the person has already bowled three times before, and the description of hitting another strike suggests that it is part of the same bowling game, so the events are likely to occur in sequence."
98,The medal is cooled down and the finished weld can be seen .,A portable power sources has electric tools plugged into it .,NA,Yes,"The event 'The medal is cooled down' likely occurs after the event 'A portable power source has electric tools plugged into it', as the cooling down of the medal is likely a process that occurs after the welding process, which requires the use of electric tools."
99,They stack the mango slices on a plate .,They put the fruit into a juicer and pour the juice into a large jug .,NA,No,"It is possible that the mango slices are being used for both events, but there is no clear temporal relationship between stacking the slices and juicing them."
100,He grabs a mop and dips it into the bucket and rings out excess water .,A man grabs a swiffer and cleans a small area of the floor in his living room .,NA,No,"The events are unrelated and do not describe a sequence of actions. The first event is about cleaning with a mop, while the second event is about cleaning with a swiffer, and there is no logical connection between the two."
101,"After , the woman takes off her clothes and makes sexy movements .",The woman walks in the yard and pretend to shoot .,NA,Yes,"The event 'the woman takes off her clothes and makes sexy movements' is likely to happen after 'the woman walks in the yard and pretend to shoot', as the first event implies some kind of preparation or setup, and the second event could be a performance or activity that the woman is getting ready for."
102,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,NA,Yes,"The boys are introduced in the first event, and then they appear in the second event, riding their skateboards, which suggests that the first event precedes the second."
103,A man is seen speaking to the camera using his hands in the end .,The people push themselves along in the canoe and show more people riding along .,NA,No,"There is no apparent connection between the two events, as they seem to be unrelated activities (one is a TV interview and the other is canoeing) and there is no logical sequence or cause-and-effect relationship between them."
104,The man continues to play the instrument up and down moving his hands all around .,A person is seen close up holding a guitar and begins playing the instrument while moving his arms around .,NA,Yes,"The second event is likely a description of the same action as the first event, but with a closer view. It is likely that the person is playing the instrument in the first event, and the second event is a more detailed description of that action."
105,"When he returns the fourth time , he hits another strike by knocking down all the pins .",There 's a person in a red shirt and black shoes bowling in a bowling alley .,NA,Yes,"The event 'he returns the fourth time' implies that the person has already bowled three times, so the event of hitting another strike must occur after the fourth time."
106,"For the first one , he has the ball on the end of the tennis racket that is upside down , he jilts the tennis racket up and hits the ball while it is up in the air .",He is alone and starts to illustrate different tricks that you could do when servicing the ball .,NA,Yes,"The second event seems to be a description of a technique used in the first event, specifically illustrating tricks for serving the ball, which is what the first event is describing."
107,A young woman cleans the engine area of a car .,  A woman cleans the window of a big truck .,NA,No,"There is no inherent connection between cleaning an engine area of a car and cleaning a window of a truck, suggesting they are independent events that may not be related in time."
108,The gate opens and he ropes a small animal and throws it on the ground and ties its back lets .,He stands up and runs to get back on the horse .,NA,Yes,"The event of throwing the animal off the horse and tying its back legs suggests that the horse was being ridden, and then the person got off the horse to tie the animal. Therefore, event 1 likely precedes event 2."
109,The camera zooms out and a yellow frame appears .,"  Justin is playing the drums with a caption "" Justin Beiber Drum Solo "" .",NA,Yes,"The caption and the drum solo are likely to be part of a video or TV show, and the yellow frame is likely the opening shot or a transition between segments, so it is likely that the camera zooming out and the yellow frame appearing precedes Justin's drum solo."
110,The men start after the card and ride their dirt bikes .,The end titles appear on a black screen .,NA,Yes,"The end titles typically appear after the main content of a movie or show has finished, which in this case is the scene where the men ride their dirt bikes."
111,The men continue to huddle and play a game of rock paper scissors while cheering afterwards .,A large group of people are seen standing on a field with players carrying others on their backs .,NA,Yes,"It is likely that the game of rock paper scissors is played before the cheering, and the cheering is a reaction to the outcome of the game. Therefore, the events have a temporal relationship, where Event 1 precedes Event 2."
112,"Mothers grab their babies to come up for air , and a baby breathes as he looks at the camera .",A baby boy 's head floats up from water .,NA,Yes,"The baby's head floating up from water suggests that the baby was underwater, and the mothers grabbing their babies to come up for air implies that the mothers were also underwater. Therefore, it is likely that the baby's head floating up from water occurs before the mothers grab their babies to come up for air."
113,A large beer pong table is shown with cups laid out and people playing .,Many clips are shown of people playing beer pong as well as speaking to the camera .,NA,Yes,"The second event is likely a continuation of the first event, as it shows people playing beer pong, which was already set up in the first event."
114,The   man fills he bucket and dumps it out .,We see a man and a boy playing in the sand .,NA,Yes,"The man must fill the bucket before dumping it out, which suggests that the events are related in time."
115,Text speaks of an event that is coming up .,They are shown jumping   off cliffs into the water before rafting again .,NA,Yes,"The event described in Event 2 ('jumping off cliffs into the water') is likely a part of the event described in Event 1 ('an event that is coming up'), suggesting that Event 2 is a part of the event being referred to in Event 1."
116,  Man sleeps in a bed .,Man talks to someone on the camera .,NA,No,"There is no clear causal or temporal relationship between sleeping and talking on a camera, as these are unrelated activities that can occur at different times."
117,One of the students does impressive stunts and moves while snowboarding .,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,NA,Yes,"It is likely that the instructors teach the young students to begin snowboarding and then one of the students becomes skilled enough to do impressive stunts and moves, so the events are likely to be in a temporal sequence."
118,One of the students does impressive stunts and moves while snowboarding .,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,NA,Yes,"It is likely that the students being taught by the instructors in Event 2 will eventually progress to doing impressive stunts and moves like the one described in Event 1, so there is a temporal relationship between the two events, with Event 2 potentially occurring before Event 1."
