Index,Text 1,Text 2,Relationship (HUMAN),Relationship (LLAMA)
90,The camera man adjusts the camera and covers it with his hand .,We see two men playing squash in an indoor court .,NA,No,There is no clear indication that the actions of the camera man must precede or follow the squash game; the two events can occur independently.
91,"A black screen appears and a blue area with black text reads "" 20 Seconds "" and it flashes multiple times .","Various items are shown that include a toilet paper roll , a bottle of handwash and running water from a faucet .",NA,No,"The black screen with the countdown does not indicate a temporal relation to the display of various items, and they appear to represent different contexts."
92,"They lay down on mats , using exercise balls to do sit ups , then doing arm lifts .","They raise them to their chests , then over their heads very quickly , doing several sets .",NA,Yes,The description in Event 1 suggests a progression of exercises leading into the actions described in Event 2.
93,The man is again being interviewed with several shots of balls being thrown and more people being interviewed .,Various shots of people are shown as well a bowling balls being thrown down a lane .,NA,No,"The two events describe different scenarios involving interviews and shots of bowling, but there is no clear indication that one event precedes the other."
94,  The man does a routine on the horse .,  People in the arena applaud the man .,NA,Yes,The applause from the audience likely occurs after the man completes his routine on the horse.
95,Two people are seen kicking around a skateboard and lead into clips of them riding down a road .,The men continue moving around the city through obstacles and moving along the road .,NA,Yes,"The first event describes the initial activities of the two people with the skateboard, which likely leads into the continuation of their activities as described in the second event."
96,We see the title screen on black .,The lady with the hose is seen again .,NA,No,There is no clear indication that the appearance of the title screen and the lady with the hose are related or occur in a specific order.
97,"When he returns the fourth time , he hits another strike by knocking down all the pins .",There 's a person in a red shirt and black shoes bowling in a bowling alley .,NA,Yes,"The event of hitting another strike suggests that the person is actively engaged in bowling, which implies that the person in the red shirt is likely the same individual who is bowling in the alley."
98,The medal is cooled down and the finished weld can be seen .,A portable power sources has electric tools plugged into it .,NA,No,There is no clear indication that one event must precede or follow the other; they appear to be unrelated activities.
99,They stack the mango slices on a plate .,They put the fruit into a juicer and pour the juice into a large jug .,NA,No,The events describe different actions involving mangoes that do not necessarily follow a specific order; stacking slices and juicing can happen independently.
100,He grabs a mop and dips it into the bucket and rings out excess water .,A man grabs a swiffer and cleans a small area of the floor in his living room .,NA,No,"The events involve different cleaning tools and methods, and there is no indication that one event must occur before the other."
101,"After , the woman takes off her clothes and makes sexy movements .",The woman walks in the yard and pretend to shoot .,NA,No,There is no clear indication of a temporal relationship between the two events; they can occur independently.
102,A black screen with white letters scrolling from the bottom to the top includes the names of all the boys in the video .,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,NA,Yes,The scrolling names on the black screen likely serve as an introduction to the boys before they begin riding their skateboards.
103,A man is seen speaking to the camera using his hands in the end .,The people push themselves along in the canoe and show more people riding along .,NA,No,The events appear to be unrelated as they describe different activities without a clear sequence.
104,The man continues to play the instrument up and down moving his hands all around .,A person is seen close up holding a guitar and begins playing the instrument while moving his arms around .,NA,Yes,"The second event describes the initiation of playing the instrument, which likely precedes the first event's description of ongoing playing."
105,"When he returns the fourth time , he hits another strike by knocking down all the pins .",There 's a person in a red shirt and black shoes bowling in a bowling alley .,NA,Yes,"The act of hitting a strike (Event 1) occurs during a bowling game, which involves the person bowling (Event 2). Therefore, the person bowling is likely to precede or coincide with hitting the strike."
106,"For the first one , he has the ball on the end of the tennis racket that is upside down , he jilts the tennis racket up and hits the ball while it is up in the air .",He is alone and starts to illustrate different tricks that you could do when servicing the ball .,NA,Yes,"The action of hitting the ball suggests that he is in the process of demonstrating or practicing tricks, implying that the first event occurs as part of the second event."
107,A young woman cleans the engine area of a car .,  A woman cleans the window of a big truck .,NA,No,"The two events involve different vehicles and cleaning tasks, and there is no indication that one event precedes the other."
108,The gate opens and he ropes a small animal and throws it on the ground and ties its back lets .,He stands up and runs to get back on the horse .,NA,Yes,The action of tying the animal down suggests that he needs to secure it before he can safely get back on the horse.
109,The camera zooms out and a yellow frame appears .,"  Justin is playing the drums with a caption "" Justin Beiber Drum Solo "" .",NA,No,The two events appear to be unrelated; one describes a visual effect while the other describes a person playing an instrument. There is no indication that one follows the other.
110,The men start after the card and ride their dirt bikes .,The end titles appear on a black screen .,NA,Yes,The appearance of the end titles typically occurs after the events of the dirt bike riding have concluded.
111,The men continue to huddle and play a game of rock paper scissors while cheering afterwards .,A large group of people are seen standing on a field with players carrying others on their backs .,NA,No,The two events describe separate activities that do not have a clear chronological order or dependency on one another.
112,"Mothers grab their babies to come up for air , and a baby breathes as he looks at the camera .",A baby boy 's head floats up from water .,NA,Yes,The baby's head floating up from the water likely occurs before the mothers grab their babies to help them come up for air.
113,A large beer pong table is shown with cups laid out and people playing .,Many clips are shown of people playing beer pong as well as speaking to the camera .,NA,Yes,"The first event describes a specific beer pong game in progress, while the second event features clips of people playing, which likely includes or follows the game being played on the table shown."
114,The   man fills he bucket and dumps it out .,We see a man and a boy playing in the sand .,NA,No,The two events do not have a clear chronological relationship; they could happen independently or simultaneously without one directly leading to the other.
115,Text speaks of an event that is coming up .,They are shown jumping   off cliffs into the water before rafting again .,NA,No,"The first event refers to an upcoming event, while the second event describes an activity that is happening in the present, making it unclear if one directly precedes the other."
116,  Man sleeps in a bed .,Man talks to someone on the camera .,NA,No,Sleeping and talking on camera are independent activities that do not imply a specific sequence; the man could sleep before or after talking.
117,One of the students does impressive stunts and moves while snowboarding .,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,NA,Yes,The instructors teaching young students likely occurs before the students can perform impressive stunts while snowboarding.
118,One of the students does impressive stunts and moves while snowboarding .,The instructors are helping and teaching the young students to begin snowboarding and teaching them various steps .,NA,Yes,"The instructors likely teach the young students before one of the students engages in impressive stunts, as performing stunts typically follows learning basic skills."
119,The boys then begin to ride their skateboards on the road and now there 's a 4th boy who has also joined them as they continue riding down the road and filming themselves while taking turns holding the stick with the camera attached to it .,"Two young boys wearing helmets , holding skateboards and carrying backpacks are walking through an area that is heavily filled with leaves and trees .",NA,Yes,The second event likely precedes the first as the boys are seen walking before they begin riding their skateboards.
120,There 's a young man wearing a blue shirt and black hat demonstrating on a bed and talking about fitness .,He is talking about fitness as he lays on his back to demonstrate crunches by doing actions with his arms .,NA,Yes,"The man is first talking about fitness while demonstrating and then specifically lays on his back to perform crunches, indicating a sequential flow of actions."
121,The individual squeezes the lemons ' juice into a mug using a tool .,The individual mixes some water into the mug .,NA,Yes,Squeezing the lemon juice into the mug logically precedes mixing water into the mug to create a drink.
122,A woman sits on front a red shoe .,"Next , the woman puts the shoe on the table and continues talking .",NA,Yes,The action of the woman sitting in front of the red shoe precedes her putting the shoe on the table.
123,"There are two men connected to the large rock wall , one is higher up on the rock and the other one is on the ground and when the man that is higher repels very quickly , the man on the ground quickly gets lifted from the ground but not all the way up the rock wall .","A man is tied to the top of a rock wall and he quickly repels and the words "" clean big falls ! "" appear on the screen .",NA,Yes,"Both events describe actions involving a quick repel by a man on a rock wall. The first event likely takes place before the second event, as it emphasizes the reaction of the man on the ground being lifted simultaneously when the higher man repels."
124,"A lady in short hair , wearing an orange top is standing by the kitchen counter , on the counter there are black pan , mayo , foil , plate , bread , knife .","She placed the bread on the plate , cut it and half , she is sitting on the green chair and started eating her sandwich .",NA,Yes,"The events describe a sequence where the first event involves preparing the ingredients (standing by the counter), and the second event describes the act of making and consuming the sandwich, which logically follows the preparation."
125,We see the man talking and hug his dog .,We see a landscape in the desert .,NA,No,There is no clear indication that one event occurs before the other; they appear to be unrelated.
126,A group of people get off of a yellow school bus with life rafts around their neck and enter a foliage filled area leading to a body of water .,  The man continues to talk to the camera intersperses with images of the people having fun at the water event .,NA,Yes,"The first event describes people arriving at a body of water, likely leading to the fun activities depicted in the second event."
127,"Another man is also standing outdoors and he also swings the axe and chops a piece of wood and the wood piece gets stuck onto his axe , he removes the wood from the axe , hits it again and it gets stuck once more and he walks out of view from the camera .","A man is standing outdoors wearing an orange tanktop and green shorts , holding an axe and then he swings it over his head and chops a piece of wood .",NA,No,The two events describe different actions performed by different men with axes. There is no indication that one event occurs before or after the other.
128,There 's a small boy snowboarding down the slope .,The young snowboarder continues to go down the mountain slope steadily .,NA,Yes,"Event 1 describes the initial action of the boy snowboarding down the slope, which is followed by Event 2 indicating that he continues his descent."
129,She slowly places the lens into her eyes .,A young woman is pulling back both of her eyelids open with her finger .,NA,Yes,"Pulling back the eyelids typically occurs before placing contact lenses into the eyes, indicating a likely temporal relationship."
130,A guy squats on ice next to a plant .,The guy brings a fish from the ice which is attached to the string .,NA,Yes,"The act of bringing the fish from the ice likely follows after the guy squats on ice, as he would need to position himself before retrieving the fish."
131,A close up shot of one of the women begins as she 's talking and the banner indicates she 's a shuffleboard player by the name of FRIEDA GALLAWAY .,The women are now the focus and they are playing at a shuffleboard taking turns hitting the disc .,NA,Yes,The close-up shot and identification of Frieda Gallaway likely occurs before the women begin playing shuffleboard.
132,"The winner smiles , flexes his two arms , stands up , shows his arm muscles and he sits down on another table .","A black screen appears and the white words on it read "" ARM WRESTLING MATCH",NA,Yes,"The appearance of the black screen with the title 'ARM WRESTLING MATCH' likely occurs before the winner displays his victory, as it sets the context for the event."
133,He resumes mopping the living room .,The mop is wet and he uses it to clean the living room .,NA,Yes,"Event 1 indicates that he is continuing to mop, which implies that he has already started cleaning the living room with the wet mop from Event 2."
134,A man is water skiing very fast .,An old black and white video is shown before cutting to several clips of boats being controlled and driven through the water .,NA,No,"The two events are unrelated as the water skiing event is a contemporary activity, while the old video and boat clips suggest a separate context or timeline."
135,"A counter top with lemons and ingredients in small bowls is shown , with several individuals standing by the counter .",The individual rearranges the items on the counter top .,NA,Yes,The rearranging of the items on the counter top likely occurs after the items have been displayed or shown.
136,A baby boy 's head floats up from water .,"Mothers grab their babies to come up for air , and a baby breathes as he looks at the camera .",NA,Yes,"The first event, where the baby boy's head floats up from water, likely occurs before the second event, where mothers grab their babies and the baby breathes."
